369, 1, 1358.00, 264.00, 66.00, 168.00, -1, -1, -1, -1
370, 1, 1357.00, 264.00, 66.00, 168.00, -1, -1, -1, -1
371, 1, 1356.00, 264.00, 67.00, 169.00, -1, -1, -1, -1
372, 1, 1355.00, 263.00, 67.00, 169.00, -1, -1, -1, -1
373, 1, 1354.00, 263.00, 67.00, 169.00, -1, -1, -1, -1
374, 1, 1354.00, 263.00, 67.00, 169.00, -1, -1, -1, -1
375, 1, 1353.00, 262.00, 67.00, 169.00, -1, -1, -1, -1
376, 1, 1353.00, 262.00, 68.00, 169.00, -1, -1, -1, -1
377, 1, 1352.00, 262.00, 68.00, 169.00, -1, -1, -1, -1
378, 1, 1351.00, 261.00, 68.00, 169.00, -1, -1, -1, -1
379, 1, 1351.00, 261.00, 68.00, 169.00, -1, -1, -1, -1
380, 1, 1350.00, 261.00, 68.00, 169.00, -1, -1, -1, -1
381, 1, 1350.00, 261.00, 69.00, 170.00, -1, -1, -1, -1
382, 1, 1350.00, 261.00, 68.00, 169.00, -1, -1, -1, -1
383, 1, 1350.00, 261.00, 68.00, 169.00, -1, -1, -1, -1
384, 1, 1350.00, 262.00, 68.00, 169.00, -1, -1, -1, -1
385, 1, 1351.00, 262.00, 67.00, 169.00, -1, -1, -1, -1
386, 1, 1351.00, 263.00, 67.00, 169.00, -1, -1, -1, -1
387, 1, 1351.00, 263.00, 67.00, 168.00, -1, -1, -1, -1
388, 1, 1352.00, 263.00, 66.00, 168.00, -1, -1, -1, -1
389, 1, 1352.00, 264.00, 66.00, 168.00, -1, -1, -1, -1
390, 1, 1352.00, 264.00, 66.00, 168.00, -1, -1, -1, -1
391, 1, 1353.00, 265.00, 66.00, 168.00, -1, -1, -1, -1
392, 1, 1352.00, 264.00, 65.00, 168.00, -1, -1, -1, -1
393, 1, 1352.00, 264.00, 65.00, 168.00, -1, -1, -1, -1
394, 1, 1352.00, 264.00, 65.00, 168.00, -1, -1, -1, -1
395, 1, 1352.00, 264.00, 65.00, 169.00, -1, -1, -1, -1
396, 1, 1352.00, 264.00, 65.00, 169.00, -1, -1, -1, -1
397, 1, 1352.00, 263.00, 65.00, 169.00, -1, -1, -1, -1
398, 1, 1352.00, 263.00, 65.00, 170.00, -1, -1, -1, -1
399, 1, 1352.00, 263.00, 65.00, 170.00, -1, -1, -1, -1
400, 1, 1352.00, 263.00, 65.00, 170.00, -1, -1, -1, -1
401, 1, 1352.00, 263.00, 65.00, 171.00, -1, -1, -1, -1
402, 1, 1351.00, 263.00, 65.00, 171.00, -1, -1, -1, -1
403, 1, 1351.00, 263.00, 65.00, 171.00, -1, -1, -1, -1
404, 1, 1351.00, 263.00, 65.00, 171.00, -1, -1, -1, -1
405, 1, 1351.00, 263.00, 65.00, 171.00, -1, -1, -1, -1
406, 1, 1351.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
407, 1, 1350.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
408, 1, 1350.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
409, 1, 1350.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
410, 1, 1350.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
411, 1, 1350.00, 263.00, 67.00, 173.00, -1, -1, -1, -1
412, 1, 1350.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
413, 1, 1350.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
414, 1, 1350.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
415, 1, 1350.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
416, 1, 1351.00, 263.00, 66.00, 172.00, -1, -1, -1, -1
417, 1, 1351.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
418, 1, 1351.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
419, 1, 1351.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
420, 1, 1351.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
421, 1, 1352.00, 264.00, 66.00, 171.00, -1, -1, -1, -1
422, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
423, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
424, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
425, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
426, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
427, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
428, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
429, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
430, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
431, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
432, 1, 1352.00, 262.00, 65.00, 171.00, -1, -1, -1, -1
433, 1, 1352.00, 262.00, 65.00, 171.00, -1, -1, -1, -1
434, 1, 1352.00, 261.00, 64.00, 171.00, -1, -1, -1, -1
435, 1, 1352.00, 261.00, 64.00, 172.00, -1, -1, -1, -1
436, 1, 1353.00, 261.00, 64.00, 172.00, -1, -1, -1, -1
437, 1, 1353.00, 260.00, 63.00, 172.00, -1, -1, -1, -1
438, 1, 1353.00, 260.00, 63.00, 173.00, -1, -1, -1, -1
439, 1, 1353.00, 259.00, 62.00, 173.00, -1, -1, -1, -1
440, 1, 1353.00, 259.00, 62.00, 173.00, -1, -1, -1, -1
441, 1, 1354.00, 259.00, 62.00, 174.00, -1, -1, -1, -1
442, 1, 1354.00, 259.00, 61.00, 174.00, -1, -1, -1, -1
443, 1, 1354.00, 259.00, 61.00, 174.00, -1, -1, -1, -1
444, 1, 1354.00, 259.00, 60.00, 174.00, -1, -1, -1, -1
445, 1, 1354.00, 259.00, 60.00, 174.00, -1, -1, -1, -1
446, 1, 1354.00, 259.00, 60.00, 174.00, -1, -1, -1, -1
447, 1, 1354.00, 259.00, 59.00, 174.00, -1, -1, -1, -1
448, 1, 1354.00, 259.00, 59.00, 174.00, -1, -1, -1, -1
449, 1, 1354.00, 259.00, 58.00, 174.00, -1, -1, -1, -1
450, 1, 1354.00, 259.00, 58.00, 174.00, -1, -1, -1, -1
451, 1, 1355.00, 260.00, 58.00, 175.00, -1, -1, -1, -1
452, 1, 1355.00, 260.00, 57.00, 174.00, -1, -1, -1, -1
453, 1, 1355.00, 260.00, 57.00, 174.00, -1, -1, -1, -1
454, 1, 1355.00, 260.00, 57.00, 174.00, -1, -1, -1, -1
455, 1, 1356.00, 260.00, 56.00, 174.00, -1, -1, -1, -1
456, 1, 1356.00, 260.00, 56.00, 174.00, -1, -1, -1, -1
457, 1, 1356.00, 260.00, 56.00, 173.00, -1, -1, -1, -1
458, 1, 1357.00, 260.00, 55.00, 173.00, -1, -1, -1, -1
459, 1, 1357.00, 260.00, 55.00, 173.00, -1, -1, -1, -1
460, 1, 1357.00, 260.00, 55.00, 173.00, -1, -1, -1, -1
461, 1, 1358.00, 261.00, 55.00, 173.00, -1, -1, -1, -1
462, 1, 1358.00, 260.00, 54.00, 173.00, -1, -1, -1, -1
463, 1, 1358.00, 260.00, 54.00, 173.00, -1, -1, -1, -1
464, 1, 1358.00, 260.00, 54.00, 173.00, -1, -1, -1, -1
465, 1, 1358.00, 260.00, 54.00, 173.00, -1, -1, -1, -1
466, 1, 1359.00, 260.00, 54.00, 174.00, -1, -1, -1, -1
467, 1, 1359.00, 260.00, 53.00, 174.00, -1, -1, -1, -1
468, 1, 1359.00, 260.00, 53.00, 174.00, -1, -1, -1, -1
469, 1, 1359.00, 260.00, 53.00, 174.00, -1, -1, -1, -1
470, 1, 1359.00, 260.00, 53.00, 174.00, -1, -1, -1, -1
471, 1, 1360.00, 260.00, 53.00, 175.00, -1, -1, -1, -1
472, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
473, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
474, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
475, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
476, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
477, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
478, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
479, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
480, 1, 1360.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
481, 1, 1361.00, 260.00, 52.00, 175.00, -1, -1, -1, -1
482, 1, 1360.00, 260.00, 52.00, 174.00, -1, -1, -1, -1
483, 1, 1360.00, 260.00, 52.00, 174.00, -1, -1, -1, -1
484, 1, 1360.00, 260.00, 52.00, 174.00, -1, -1, -1, -1
485, 1, 1359.00, 260.00, 53.00, 173.00, -1, -1, -1, -1
486, 1, 1359.00, 260.00, 53.00, 173.00, -1, -1, -1, -1
487, 1, 1359.00, 260.00, 53.00, 173.00, -1, -1, -1, -1
488, 1, 1358.00, 260.00, 54.00, 172.00, -1, -1, -1, -1
489, 1, 1358.00, 260.00, 54.00, 172.00, -1, -1, -1, -1
490, 1, 1358.00, 260.00, 54.00, 172.00, -1, -1, -1, -1
491, 1, 1358.00, 261.00, 55.00, 172.00, -1, -1, -1, -1
492, 1, 1357.00, 261.00, 55.00, 171.00, -1, -1, -1, -1
493, 1, 1357.00, 261.00, 56.00, 171.00, -1, -1, -1, -1
494, 1, 1357.00, 261.00, 56.00, 171.00, -1, -1, -1, -1
495, 1, 1357.00, 261.00, 57.00, 171.00, -1, -1, -1, -1
496, 1, 1357.00, 261.00, 57.00, 171.00, -1, -1, -1, -1
497, 1, 1356.00, 261.00, 58.00, 171.00, -1, -1, -1, -1
498, 1, 1356.00, 261.00, 58.00, 171.00, -1, -1, -1, -1
499, 1, 1356.00, 261.00, 59.00, 171.00, -1, -1, -1, -1
500, 1, 1356.00, 261.00, 59.00, 171.00, -1, -1, -1, -1
501, 1, 1356.00, 262.00, 60.00, 171.00, -1, -1, -1, -1
502, 1, 1356.00, 262.00, 60.00, 170.00, -1, -1, -1, -1
503, 1, 1356.00, 262.00, 60.00, 170.00, -1, -1, -1, -1
504, 1, 1356.00, 262.00, 60.00, 170.00, -1, -1, -1, -1
505, 1, 1356.00, 263.00, 60.00, 170.00, -1, -1, -1, -1
506, 1, 1356.00, 263.00, 60.00, 170.00, -1, -1, -1, -1
507, 1, 1356.00, 263.00, 60.00, 169.00, -1, -1, -1, -1
508, 1, 1356.00, 264.00, 60.00, 169.00, -1, -1, -1, -1
509, 1, 1356.00, 264.00, 60.00, 169.00, -1, -1, -1, -1
510, 1, 1356.00, 264.00, 60.00, 169.00, -1, -1, -1, -1
511, 1, 1357.00, 265.00, 60.00, 169.00, -1, -1, -1, -1
512, 1, 1356.00, 265.00, 60.00, 169.00, -1, -1, -1, -1
513, 1, 1356.00, 265.00, 60.00, 169.00, -1, -1, -1, -1
514, 1, 1356.00, 265.00, 60.00, 169.00, -1, -1, -1, -1
515, 1, 1355.00, 265.00, 61.00, 169.00, -1, -1, -1, -1
516, 1, 1355.00, 265.00, 61.00, 170.00, -1, -1, -1, -1
517, 1, 1355.00, 265.00, 61.00, 170.00, -1, -1, -1, -1
518, 1, 1354.00, 265.00, 62.00, 170.00, -1, -1, -1, -1
519, 1, 1354.00, 265.00, 62.00, 170.00, -1, -1, -1, -1
520, 1, 1354.00, 265.00, 62.00, 170.00, -1, -1, -1, -1
521, 1, 1354.00, 265.00, 63.00, 171.00, -1, -1, -1, -1
522, 1, 1353.00, 264.00, 63.00, 171.00, -1, -1, -1, -1
523, 1, 1353.00, 264.00, 63.00, 171.00, -1, -1, -1, -1
524, 1, 1353.00, 264.00, 63.00, 171.00, -1, -1, -1, -1
525, 1, 1353.00, 264.00, 64.00, 171.00, -1, -1, -1, -1
526, 1, 1353.00, 264.00, 64.00, 171.00, -1, -1, -1, -1
527, 1, 1352.00, 264.00, 64.00, 171.00, -1, -1, -1, -1
528, 1, 1352.00, 264.00, 65.00, 171.00, -1, -1, -1, -1
529, 1, 1352.00, 264.00, 65.00, 171.00, -1, -1, -1, -1
530, 1, 1352.00, 264.00, 65.00, 171.00, -1, -1, -1, -1
531, 1, 1352.00, 264.00, 66.00, 172.00, -1, -1, -1, -1
532, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
533, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
534, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
535, 1, 1352.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
536, 1, 1353.00, 263.00, 66.00, 171.00, -1, -1, -1, -1
537, 1, 1353.00, 263.00, 66.00, 170.00, -1, -1, -1, -1
538, 1, 1353.00, 263.00, 66.00, 170.00, -1, -1, -1, -1
539, 1, 1353.00, 263.00, 66.00, 170.00, -1, -1, -1, -1
540, 1, 1353.00, 263.00, 66.00, 170.00, -1, -1, -1, -1
541, 1, 1354.00, 263.00, 66.00, 170.00, -1, -1, -1, -1
542, 1, 1354.00, 263.00, 65.00, 169.00, -1, -1, -1, -1
543, 1, 1354.00, 263.00, 65.00, 169.00, -1, -1, -1, -1
544, 1, 1354.00, 263.00, 65.00, 169.00, -1, -1, -1, -1
545, 1, 1354.00, 263.00, 65.00, 169.00, -1, -1, -1, -1
546, 1, 1354.00, 263.00, 65.00, 169.00, -1, -1, -1, -1
547, 1, 1354.00, 263.00, 65.00, 168.00, -1, -1, -1, -1
548, 1, 1354.00, 263.00, 65.00, 168.00, -1, -1, -1, -1
549, 1, 1354.00, 263.00, 65.00, 168.00, -1, -1, -1, -1
550, 1, 1354.00, 263.00, 65.00, 168.00, -1, -1, -1, -1
551, 1, 1354.00, 264.00, 65.00, 168.00, -1, -1, -1, -1
552, 1, 1354.00, 263.00, 64.00, 167.00, -1, -1, -1, -1
553, 1, 1354.00, 263.00, 64.00, 167.00, -1, -1, -1, -1
554, 1, 1354.00, 262.00, 64.00, 167.00, -1, -1, -1, -1
555, 1, 1354.00, 262.00, 64.00, 167.00, -1, -1, -1, -1
556, 1, 1354.00, 262.00, 64.00, 167.00, -1, -1, -1, -1
557, 1, 1354.00, 261.00, 64.00, 167.00, -1, -1, -1, -1
558, 1, 1354.00, 261.00, 64.00, 167.00, -1, -1, -1, -1
559, 1, 1354.00, 260.00, 64.00, 167.00, -1, -1, -1, -1
560, 1, 1354.00, 260.00, 64.00, 167.00, -1, -1, -1, -1
561, 1, 1355.00, 260.00, 64.00, 167.00, -1, -1, -1, -1
562, 1, 1355.00, 260.00, 63.00, 167.00, -1, -1, -1, -1
563, 1, 1355.00, 260.00, 63.00, 167.00, -1, -1, -1, -1
564, 1, 1355.00, 260.00, 63.00, 167.00, -1, -1, -1, -1
565, 1, 1356.00, 260.00, 62.00, 167.00, -1, -1, -1, -1
566, 1, 1356.00, 260.00, 62.00, 167.00, -1, -1, -1, -1
567, 1, 1356.00, 260.00, 62.00, 167.00, -1, -1, -1, -1
568, 1, 1357.00, 260.00, 61.00, 167.00, -1, -1, -1, -1
569, 1, 1357.00, 260.00, 61.00, 167.00, -1, -1, -1, -1
570, 1, 1357.00, 260.00, 61.00, 167.00, -1, -1, -1, -1
571, 1, 1358.00, 260.00, 61.00, 168.00, -1, -1, -1, -1
572, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
573, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
574, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
575, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
576, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
577, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
578, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
579, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
580, 1, 1358.00, 259.00, 61.00, 168.00, -1, -1, -1, -1
581, 1, 1358.00, 259.00, 62.00, 169.00, -1, -1, -1, -1
582, 1, 1358.00, 259.00, 61.00, 167.00, -1, -1, -1, -1
583, 1, 1358.00, 259.00, 61.00, 166.00, -1, -1, -1, -1
584, 1, 1358.00, 259.00, 60.00, 165.00, -1, -1, -1, -1
585, 1, 1358.00, 260.00, 60.00, 164.00, -1, -1, -1, -1
586, 1, 1358.00, 260.00, 60.00, 163.00, -1, -1, -1, -1
587, 1, 1358.00, 260.00, 59.00, 161.00, -1, -1, -1, -1
588, 1, 1358.00, 261.00, 59.00, 160.00, -1, -1, -1, -1
589, 1, 1358.00, 261.00, 58.00, 159.00, -1, -1, -1, -1
590, 1, 1358.00, 261.00, 58.00, 158.00, -1, -1, -1, -1
591, 1, 1358.00, 262.00, 58.00, 157.00, -1, -1, -1, -1
592, 1, 1357.00, 262.00, 58.00, 157.00, -1, -1, -1, -1
593, 1, 1357.00, 262.00, 58.00, 157.00, -1, -1, -1, -1
594, 1, 1357.00, 262.00, 59.00, 157.00, -1, -1, -1, -1
595, 1, 1357.00, 262.00, 59.00, 157.00, -1, -1, -1, -1
596, 1, 1357.00, 262.00, 60.00, 157.00, -1, -1, -1, -1
597, 1, 1356.00, 262.00, 60.00, 157.00, -1, -1, -1, -1
598, 1, 1356.00, 262.00, 60.00, 157.00, -1, -1, -1, -1
599, 1, 1356.00, 262.00, 61.00, 157.00, -1, -1, -1, -1
600, 1, 1356.00, 262.00, 61.00, 157.00, -1, -1, -1, -1
601, 1, 1356.00, 262.00, 62.00, 158.00, -1, -1, -1, -1
602, 1, 1355.00, 262.00, 62.00, 157.00, -1, -1, -1, -1
603, 1, 1355.00, 262.00, 62.00, 157.00, -1, -1, -1, -1
604, 1, 1355.00, 262.00, 62.00, 157.00, -1, -1, -1, -1
605, 1, 1355.00, 262.00, 62.00, 157.00, -1, -1, -1, -1
606, 1, 1355.00, 262.00, 62.00, 157.00, -1, -1, -1, -1
607, 1, 1355.00, 262.00, 62.00, 156.00, -1, -1, -1, -1
608, 1, 1355.00, 262.00, 62.00, 156.00, -1, -1, -1, -1
609, 1, 1355.00, 262.00, 62.00, 156.00, -1, -1, -1, -1
610, 1, 1355.00, 262.00, 62.00, 156.00, -1, -1, -1, -1
611, 1, 1355.00, 262.00, 63.00, 156.00, -1, -1, -1, -1
612, 1, 1354.00, 261.00, 63.00, 156.00, -1, -1, -1, -1
613, 1, 1354.00, 261.00, 63.00, 156.00, -1, -1, -1, -1
614, 1, 1354.00, 261.00, 63.00, 156.00, -1, -1, -1, -1
615, 1, 1354.00, 261.00, 63.00, 156.00, -1, -1, -1, -1
616, 1, 1354.00, 261.00, 64.00, 157.00, -1, -1, -1, -1
617, 1, 1353.00, 261.00, 64.00, 157.00, -1, -1, -1, -1
618, 1, 1353.00, 261.00, 64.00, 157.00, -1, -1, -1, -1
619, 1, 1353.00, 261.00, 64.00, 157.00, -1, -1, -1, -1
620, 1, 1353.00, 261.00, 64.00, 157.00, -1, -1, -1, -1
621, 1, 1353.00, 261.00, 65.00, 158.00, -1, -1, -1, -1
622, 1, 1353.00, 261.00, 64.00, 158.00, -1, -1, -1, -1
623, 1, 1353.00, 261.00, 64.00, 158.00, -1, -1, -1, -1
624, 1, 1353.00, 261.00, 64.00, 158.00, -1, -1, -1, -1
625, 1, 1354.00, 261.00, 63.00, 158.00, -1, -1, -1, -1
626, 1, 1354.00, 261.00, 63.00, 158.00, -1, -1, -1, -1
627, 1, 1354.00, 261.00, 63.00, 158.00, -1, -1, -1, -1
628, 1, 1355.00, 261.00, 62.00, 158.00, -1, -1, -1, -1
629, 1, 1355.00, 261.00, 62.00, 158.00, -1, -1, -1, -1
630, 1, 1355.00, 261.00, 62.00, 158.00, -1, -1, -1, -1
631, 1, 1356.00, 261.00, 62.00, 159.00, -1, -1, -1, -1
632, 1, 1355.00, 260.00, 62.00, 159.00, -1, -1, -1, -1
633, 1, 1355.00, 260.00, 62.00, 160.00, -1, -1, -1, -1
634, 1, 1355.00, 260.00, 62.00, 160.00, -1, -1, -1, -1
635, 1, 1354.00, 260.00, 62.00, 161.00, -1, -1, -1, -1
636, 1, 1354.00, 260.00, 62.00, 161.00, -1, -1, -1, -1
637, 1, 1354.00, 259.00, 62.00, 162.00, -1, -1, -1, -1
638, 1, 1353.00, 259.00, 62.00, 162.00, -1, -1, -1, -1
639, 1, 1353.00, 259.00, 62.00, 163.00, -1, -1, -1, -1
640, 1, 1353.00, 259.00, 62.00, 163.00, -1, -1, -1, -1
641, 1, 1353.00, 259.00, 62.00, 164.00, -1, -1, -1, -1
642, 1, 1353.00, 259.00, 62.00, 163.00, -1, -1, -1, -1
643, 1, 1353.00, 259.00, 62.00, 163.00, -1, -1, -1, -1
644, 1, 1353.00, 259.00, 62.00, 163.00, -1, -1, -1, -1
645, 1, 1353.00, 259.00, 62.00, 163.00, -1, -1, -1, -1
646, 1, 1353.00, 259.00, 62.00, 163.00, -1, -1, -1, -1
647, 1, 1353.00, 259.00, 62.00, 162.00, -1, -1, -1, -1
648, 1, 1353.00, 259.00, 62.00, 162.00, -1, -1, -1, -1
649, 1, 1353.00, 259.00, 62.00, 162.00, -1, -1, -1, -1
650, 1, 1353.00, 259.00, 62.00, 162.00, -1, -1, -1, -1
651, 1, 1353.00, 259.00, 62.00, 162.00, -1, -1, -1, -1
652, 1, 1353.00, 259.00, 62.00, 161.00, -1, -1, -1, -1
653, 1, 1353.00, 259.00, 62.00, 161.00, -1, -1, -1, -1
654, 1, 1353.00, 259.00, 62.00, 160.00, -1, -1, -1, -1
655, 1, 1353.00, 259.00, 62.00, 160.00, -1, -1, -1, -1
656, 1, 1353.00, 260.00, 62.00, 160.00, -1, -1, -1, -1
657, 1, 1353.00, 260.00, 62.00, 159.00, -1, -1, -1, -1
658, 1, 1353.00, 260.00, 62.00, 159.00, -1, -1, -1, -1
659, 1, 1353.00, 260.00, 62.00, 158.00, -1, -1, -1, -1
660, 1, 1353.00, 260.00, 62.00, 158.00, -1, -1, -1, -1
661, 1, 1353.00, 261.00, 63.00, 158.00, -1, -1, -1, -1
662, 1, 1352.00, 260.00, 63.00, 158.00, -1, -1, -1, -1
663, 1, 1352.00, 260.00, 64.00, 159.00, -1, -1, -1, -1
664, 1, 1352.00, 260.00, 64.00, 160.00, -1, -1, -1, -1
665, 1, 1351.00, 260.00, 65.00, 161.00, -1, -1, -1, -1
666, 1, 1351.00, 260.00, 66.00, 162.00, -1, -1, -1, -1
667, 1, 1351.00, 260.00, 66.00, 163.00, -1, -1, -1, -1
668, 1, 1350.00, 260.00, 67.00, 164.00, -1, -1, -1, -1
669, 1, 1350.00, 260.00, 67.00, 165.00, -1, -1, -1, -1
670, 1, 1350.00, 260.00, 68.00, 166.00, -1, -1, -1, -1
671, 1, 1350.00, 260.00, 69.00, 167.00, -1, -1, -1, -1
672, 1, 1350.00, 260.00, 68.00, 165.00, -1, -1, -1, -1
673, 1, 1351.00, 260.00, 67.00, 164.00, -1, -1, -1, -1
674, 1, 1351.00, 260.00, 67.00, 162.00, -1, -1, -1, -1
675, 1, 1352.00, 260.00, 66.00, 161.00, -1, -1, -1, -1
676, 1, 1352.00, 261.00, 66.00, 159.00, -1, -1, -1, -1
677, 1, 1353.00, 261.00, 65.00, 158.00, -1, -1, -1, -1
678, 1, 1353.00, 261.00, 64.00, 156.00, -1, -1, -1, -1
679, 1, 1354.00, 261.00, 64.00, 155.00, -1, -1, -1, -1
680, 1, 1354.00, 261.00, 63.00, 153.00, -1, -1, -1, -1
681, 1, 1355.00, 262.00, 63.00, 152.00, -1, -1, -1, -1
682, 1, 1355.00, 262.00, 63.00, 151.00, -1, -1, -1, -1
683, 1, 1355.00, 262.00, 63.00, 150.00, -1, -1, -1, -1
684, 1, 1355.00, 262.00, 63.00, 150.00, -1, -1, -1, -1
685, 1, 1356.00, 262.00, 63.00, 149.00, -1, -1, -1, -1
686, 1, 1356.00, 263.00, 63.00, 149.00, -1, -1, -1, -1
687, 1, 1356.00, 263.00, 63.00, 148.00, -1, -1, -1, -1
688, 1, 1357.00, 263.00, 63.00, 147.00, -1, -1, -1, -1
689, 1, 1357.00, 263.00, 63.00, 147.00, -1, -1, -1, -1
690, 1, 1357.00, 263.00, 63.00, 146.00, -1, -1, -1, -1
691, 1, 1358.00, 264.00, 63.00, 146.00, -1, -1, -1, -1
692, 1, 1357.00, 263.00, 63.00, 147.00, -1, -1, -1, -1
693, 1, 1357.00, 263.00, 63.00, 148.00, -1, -1, -1, -1
694, 1, 1356.00, 262.00, 64.00, 150.00, -1, -1, -1, -1
695, 1, 1356.00, 262.00, 64.00, 151.00, -1, -1, -1, -1
696, 1, 1356.00, 261.00, 65.00, 153.00, -1, -1, -1, -1
697, 1, 1355.00, 261.00, 65.00, 154.00, -1, -1, -1, -1
698, 1, 1355.00, 260.00, 65.00, 155.00, -1, -1, -1, -1
699, 1, 1354.00, 260.00, 66.00, 157.00, -1, -1, -1, -1
700, 1, 1354.00, 259.00, 66.00, 158.00, -1, -1, -1, -1
701, 1, 1354.00, 259.00, 67.00, 160.00, -1, -1, -1, -1
702, 1, 1354.00, 259.00, 66.00, 159.00, -1, -1, -1, -1
703, 1, 1354.00, 259.00, 66.00, 159.00, -1, -1, -1, -1
704, 1, 1354.00, 260.00, 66.00, 159.00, -1, -1, -1, -1
705, 1, 1355.00, 260.00, 66.00, 159.00, -1, -1, -1, -1
706, 1, 1355.00, 261.00, 66.00, 159.00, -1, -1, -1, -1
707, 1, 1355.00, 261.00, 65.00, 158.00, -1, -1, -1, -1
708, 1, 1356.00, 261.00, 65.00, 158.00, -1, -1, -1, -1
709, 1, 1356.00, 262.00, 65.00, 158.00, -1, -1, -1, -1
710, 1, 1356.00, 262.00, 65.00, 158.00, -1, -1, -1, -1
711, 1, 1357.00, 263.00, 65.00, 158.00, -1, -1, -1, -1
712, 1, 1357.00, 262.00, 65.00, 159.00, -1, -1, -1, -1
713, 1, 1357.00, 262.00, 65.00, 160.00, -1, -1, -1, -1
714, 1, 1357.00, 262.00, 65.00, 161.00, -1, -1, -1, -1
715, 1, 1357.00, 262.00, 65.00, 162.00, -1, -1, -1, -1
716, 1, 1357.00, 262.00, 65.00, 163.00, -1, -1, -1, -1
717, 1, 1357.00, 261.00, 65.00, 164.00, -1, -1, -1, -1
718, 1, 1357.00, 261.00, 65.00, 165.00, -1, -1, -1, -1
719, 1, 1357.00, 261.00, 65.00, 166.00, -1, -1, -1, -1
720, 1, 1357.00, 261.00, 65.00, 167.00, -1, -1, -1, -1
721, 1, 1357.00, 261.00, 66.00, 168.00, -1, -1, -1, -1
722, 1, 1357.00, 261.00, 65.00, 167.00, -1, -1, -1, -1
723, 1, 1357.00, 261.00, 65.00, 167.00, -1, -1, -1, -1
724, 1, 1357.00, 261.00, 65.00, 167.00, -1, -1, -1, -1
725, 1, 1357.00, 261.00, 65.00, 167.00, -1, -1, -1, -1
726, 1, 1358.00, 261.00, 65.00, 167.00, -1, -1, -1, -1
727, 1, 1358.00, 261.00, 64.00, 166.00, -1, -1, -1, -1
728, 1, 1358.00, 261.00, 64.00, 166.00, -1, -1, -1, -1
729, 1, 1358.00, 261.00, 64.00, 166.00, -1, -1, -1, -1
730, 1, 1358.00, 261.00, 64.00, 166.00, -1, -1, -1, -1
731, 1, 1359.00, 261.00, 64.00, 166.00, -1, -1, -1, -1
732, 1, 1359.00, 261.00, 63.00, 165.00, -1, -1, -1, -1
733, 1, 1359.00, 261.00, 63.00, 165.00, -1, -1, -1, -1
734, 1, 1359.00, 261.00, 63.00, 165.00, -1, -1, -1, -1
735, 1, 1359.00, 261.00, 63.00, 165.00, -1, -1, -1, -1
736, 1, 1359.00, 261.00, 63.00, 165.00, -1, -1, -1, -1
